iep_subregions,cereal,fish_meat,fish_other,citrus,fruit,vegetable,bovine_dairy,camelid_dairy,caprine_dairy,bovine_meat,aves_meat,aves_dairy,caprine_meat,camelid_meat,equine_meat,sus_meat,oilcrop,pulse,rootstubers,sugarcrop,treenut
Australia/New Zealand,0.27,0.33,0.33,0.28,0.28,0.28,0.15,0.15,0.15,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.04,0.04,0.3,0.04,0.04
Caribbean,0.1,0.04,0.04,0.1,0.1,0.1,0.04,0.04,0.04,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.02,0.02,0.04,0.02,0.02
Central America,0.1,0.04,0.04,0.1,0.1,0.1,0.04,0.04,0.04,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.02,0.02,0.04,0.02,0.02
Central Asia,0.12,0.04,0.04,0.12,0.12,0.12,0.02,0.02,0.02,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.02,0.02,0.06,0.02,0.02
Eastern Africa,0.01266666667,0.02,0.02,0.05266666667,0.05266666667,0.05266666667,0.0022,0.0022,0.0022,0.02266666667,0.02266666667,0.02266666667,0.02266666667,0.02266666667,0.02266666667,0.02266666667,0.01,0.01,0.02133333333,0.01,0.01
Eastern Asia,0.184,0.072,0.072,0.144,0.144,0.144,0.044,0.044,0.044,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.036,0.036,0.092,0.036,0.036
Eastern Europe,0.25,0.11,0.11,0.19,0.19,0.19,0.07,0.07,0.07,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.04,0.04,0.17,0.04,0.04
Melanesia,0.27,0.33,0.33,0.28,0.28,0.28,0.15,0.15,0.15,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.04,0.04,0.3,0.04,0.04
Micronesia,0.27,0.33,0.33,0.28,0.28,0.28,0.15,0.15,0.15,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.04,0.04,0.3,0.04,0.04
Middle Africa,0.01,0.02,0.02,0.05,0.05,0.05,0.001,0.001,0.001,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.01,0.01
Northern Africa,0.1016666667,0.03666666667,0.03666666667,0.1083333333,0.1083333333,0.1083333333,0.01683333333,0.01683333333,0.01683333333,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.01833333333,0.01833333333,0.05333333333,0.01833333333,0.01833333333
Northern America,0.27,0.33,0.33,0.28,0.28,0.28,0.15,0.15,0.15,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.04,0.04,0.3,0.04,0.04
Northern Europe,0.25,0.11,0.11,0.19,0.19,0.19,0.07,0.07,0.07,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.04,0.04,0.17,0.04,0.04
Polynesia,0.27,0.33,0.33,0.28,0.28,0.28,0.15,0.15,0.15,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.04,0.04,0.3,0.04,0.04
South America,0.1,0.04,0.04,0.1,0.1,0.1,0.04,0.04,0.04,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.02,0.02,0.04,0.02,0.02
South-Eastern Asia,0.039,0.022,0.022,0.075,0.075,0.075,0.011,0.011,0.011,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.011,0.011,0.033,0.011,0.011
Southern Africa,0.01,0.02,0.02,0.05,0.05,0.05,0.001,0.001,0.001,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.01,0.01
Southern Asia,0.03,0.02,0.02,0.07,0.07,0.07,0.01,0.01,0.01,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.01,0.01,0.03,0.01,0.01
Southern Europe,0.25,0.11,0.11,0.19,0.19,0.19,0.07,0.07,0.07,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.04,0.04,0.17,0.04,0.04
Western Africa,0.016875,0.02125,0.02125,0.054375,0.054375,0.054375,0.0021875,0.0021875,0.0021875,0.02375,0.02375,0.02375,0.02375,0.02375,0.02375,0.02375,0.010625,0.010625,0.0225,0.010625,0.010625
Western Asia,0.1546666667,0.05866666667,0.05866666667,0.1386666667,0.1386666667,0.1386666667,0.03333333333,0.03333333333,0.03333333333,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.02533333333,0.02533333333,0.08933333333,0.02533333333,0.02533333333
Western Europe,0.25,0.11,0.11,0.19,0.19,0.19,0.07,0.07,0.07,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.04,0.04,0.17,0.04,0.04
