ELA_PHD,kcal_day,g_day_ave,g_day_min,g_day_max,kcal_ratio,mass_ratio
all_oils,450,52,20,92,0.18,0.039274924
all_sugars,117,31,0,31,0.0468,0.023413897
beef_lamb_pork,30,14,0,28,0.012,0.010574018
chicken_poultry,62,29,0,58,0.0248,0.021903323
dairy,153,250,0,500,0.0612,0.188821752
eggs,19,13,0,25,0.0076,0.009818731
fish,40,28,0,100,0.016,0.021148036
fruits,126,200,100,300,0.0504,0.151057402
legumes,284,75,0,100,0.1136,0.056646526
nuts,291,75,0,75,0.1164,0.03776435
tubers_starchy_vegetables,39,50,0,100,0.0156,0.03776435
vegetables,78,300,300,600,0.0312,0.226586103
whole_grains,811,232,232,232,0.3244,0.175226586
total,2500,1349,652,2241,1,0.999999998
