"","Location","LocID","ISO3_Code","SubRegID","SubRegName","Area.Code","Area"
"1","Burundi",108,"BDI",910,"Eastern Africa",29,"Burundi"
"2","Comoros",174,"COM",910,"Eastern Africa",45,"Comoros"
"3","Djibouti",262,"DJI",910,"Eastern Africa",72,"Djibouti"
"4","Eritrea",232,"ERI",910,"Eastern Africa",178,"Eritrea"
"5","Ethiopia",231,"ETH",910,"Eastern Africa",238,"Ethiopia"
"6","Kenya",404,"KEN",910,"Eastern Africa",114,"Kenya"
"7","Madagascar",450,"MDG",910,"Eastern Africa",129,"Madagascar"
"8","Malawi",454,"MWI",910,"Eastern Africa",130,"Malawi"
"9","Mauritius",480,"MUS",910,"Eastern Africa",137,"Mauritius"
"10","Mayotte",175,"MYT",910,"Eastern Africa",270,"Mayotte"
"11","Mozambique",508,"MOZ",910,"Eastern Africa",144,"Mozambique"
"12","Réunion",638,"REU",910,"Eastern Africa",NA,NA
"13","Rwanda",646,"RWA",910,"Eastern Africa",184,"Rwanda"
"14","Seychelles",690,"SYC",910,"Eastern Africa",196,"Seychelles"
"15","Somalia",706,"SOM",910,"Eastern Africa",201,"Somalia"
"16","South Sudan",728,"SSD",910,"Eastern Africa",277,"South Sudan"
"17","Uganda",800,"UGA",910,"Eastern Africa",226,"Uganda"
"18","United Republic of Tanzania",834,"TZA",910,"Eastern Africa",215,"United Republic of Tanzania"
"19","Zambia",894,"ZMB",910,"Eastern Africa",251,"Zambia"
"20","Zimbabwe",716,"ZWE",910,"Eastern Africa",181,"Zimbabwe"
"21","Angola",24,"AGO",911,"Middle Africa",7,"Angola"
"22","Cameroon",120,"CMR",911,"Middle Africa",32,"Cameroon"
"23","Central African Republic",140,"CAF",911,"Middle Africa",37,"Central African Republic"
"24","Chad",148,"TCD",911,"Middle Africa",39,"Chad"
"25","Congo",178,"COG",911,"Middle Africa",46,"Congo"
"26","Democratic Republic of the Congo",180,"COD",911,"Middle Africa",250,"Democratic Republic of the Congo"
"27","Equatorial Guinea",226,"GNQ",911,"Middle Africa",61,"Equatorial Guinea"
"28","Gabon",266,"GAB",911,"Middle Africa",74,"Gabon"
"29","Sao Tome and Principe",678,"STP",911,"Middle Africa",193,"Sao Tome and Principe"
"30","Botswana",72,"BWA",913,"Southern Africa",20,"Botswana"
"31","Eswatini",748,"SWZ",913,"Southern Africa",209,"Eswatini"
"32","Lesotho",426,"LSO",913,"Southern Africa",122,"Lesotho"
"33","Namibia",516,"NAM",913,"Southern Africa",147,"Namibia"
"34","South Africa",710,"ZAF",913,"Southern Africa",202,"South Africa"
"35","Benin",204,"BEN",914,"Western Africa",53,"Benin"
