year,fao_countrycode,food_group,kt_yr,kt_yr_smoothed,diff1,diff2,iso_alpha3,countryname,un_countrycode,subregioncode,subregionname,diet_plan,scenario
1964,2,animal products,839,856,56.33333333333337,21.33333333333337,AFG,Afghanistan,4,5501,Southern Asia,FAO data,FAO data
1964,2,fish & seafood,0,0,0,0,AFG,Afghanistan,4,5501,Southern Asia,FAO data,FAO data
1964,2,plant products,4005,3888.3333333333335,106.66666666666697,40.66666666666697,AFG,Afghanistan,4,5501,Southern Asia,FAO data,FAO data
1964,3,animal products,214,215,5.666666666666657,1.3333333333333144,ALB,Albania,8,925,Southern Europe,FAO data,FAO data
1964,3,fish & seafood,3,3.3333333333333335,0.3333333333333335,0.3333333333333335,ALB,Albania,8,925,Southern Europe,FAO data,FAO data
1964,3,plant products,703,680.3333333333334,16,-9.333333333333371,ALB,Albania,8,925,Southern Europe,FAO data,FAO data
1964,4,animal products,601,597,-2,27.66666666666663,DZA,Algeria,12,912,Northern Africa,FAO data,FAO data
1964,4,fish & seafood,19,17.333333333333332,-2,4.333333333333336,DZA,Algeria,12,912,Northern Africa,FAO data,FAO data
1964,4,plant products,2930,2908.3333333333335,55,38.33333333333303,DZA,Algeria,12,912,Northern Africa,FAO data,FAO data
1964,7,animal products,192,190.66666666666666,8.666666666666657,1.3333333333333144,AGO,Angola,24,911,Middle Africa,FAO data,FAO data
1964,7,fish & seafood,69,58,2.3333333333333357,-8.666666666666664,AGO,Angola,24,911,Middle Africa,FAO data,FAO data
1964,7,plant products,1084,1062,32,-18.33333333333337,AGO,Angola,24,911,Middle Africa,FAO data,FAO data
1964,9,animal products,5565,5689,51.33333333333303,7.9999999999990905,ARG,Argentina,32,931,South America,FAO data,FAO data
1964,9,fish & seafood,159,171.66666666666666,51.66666666666666,30.33333333333333,ARG,Argentina,32,931,South America,FAO data,FAO data
1964,9,plant products,12336,12462.666666666666,489,947.6666666666679,ARG,Argentina,32,931,South America,FAO data,FAO data
1964,10,animal products,7443,7364.333333333333,29.66666666666606,-137.33333333333394,AUS,Australia,36,927,Australia/New Zealand,FAO data,FAO data
1964,10,fish & seafood,184,170.66666666666666,16,16.666666666666686,AUS,Australia,36,927,Australia/New Zealand,FAO data,FAO data
1964,10,plant products,5462,5507,119.66666666666697,-214.9999999999991,AUS,Australia,36,927,Australia/New Zealand,FAO data,FAO data
1964,11,animal products,3606,3587.6666666666665,6.33333333333303,-42.000000000000455,AUT,Austria,40,926,Western Europe,FAO data,FAO data
1964,11,fish & seafood,237,229.66666666666666,19,-4,AUT,Austria,40,926,Western Europe,FAO data,FAO data
1964,11,plant products,7134,6836.666666666667,-76.66666666666606,-211.9999999999991,AUT,Austria,40,926,Western Europe,FAO data,FAO data
1964,12,animal products,21,20.666666666666668,1.6666666666666679,0.3333333333333357,BHS,Bahamas,44,915,Caribbean,FAO data,FAO data
1964,12,fish & seafood,1,2,0.6666666666666667,0.6666666666666667,BHS,Bahamas,44,915,Caribbean,FAO data,FAO data
1964,12,plant products,49,47.666666666666664,2,-0.6666666666666643,BHS,Bahamas,44,915,Caribbean,FAO data,FAO data
1964,14,animal products,35,35.666666666666664,3,1.0000000000000036,BRB,Barbados,52,915,Caribbean,FAO data,FAO data
1964,14,fish & seafood,4,5,-0.33333333333333304,0.3333333333333339,BRB,Barbados,52,915,Caribbean,FAO data,FAO data
1964,14,plant products,74,73,-2,-2.3333333333333286,BRB,Barbados,52,915,Caribbean,FAO data,FAO data
1964,16,animal products,1270,1253,55.33333333333326,-2.0000000000002274,BGD,Bangladesh,50,5501,Southern Asia,FAO data,FAO data
1964,16,fish & seafood,528,531.6666666666666,40.333333333333314,9.333333333333314,BGD,Bangladesh,50,5501,Southern Asia,FAO data,FAO data
1964,16,plant products,4734,4697.333333333333,258,41.66666666666697,BGD,Bangladesh,50,5501,Southern Asia,FAO data,FAO data
1964,19,animal products,190,200.66666666666666,8,3.333333333333343,BOL,Bolivia (Plurinational State of),68,931,South America,FAO data,FAO data
1964,19,fish & seafood,7,6,0.666666666666667,-1.3333333333333326,BOL,Bolivia (Plurinational State of),68,931,South America,FAO data,FAO data
1964,19,plant products,1473,1530.3333333333333,62,27.333333333333485,BOL,Bolivia (Plurinational State of),68,931,South America,FAO data,FAO data
1964,20,animal products,81,81,3.6666666666666714,0.3333333333333428,BWA,Botswana,72,913,Southern Africa,FAO data,FAO data
1964,20,fish & seafood,1,1,0,-0.33333333333333337,BWA,Botswana,72,913,Southern Africa,FAO data,FAO data
1964,20,plant products,140,139,5.666666666666657,1.9999999999999716,BWA,Botswana,72,913,Southern Africa,FAO data,FAO data
